REGIONAL,CELLS,Dmin1-STATUS,Dmin2-STATUS,FINAL-STATUS
3,133324-13,PASS,UNDEFINED,PASS
3,133324-23,PASS,UNDEFINED,PASS
3,133324-33,UNDEFINED,UNDEFINED,UNDEFINED
3,133538-13,UNDEFINED,UNDEFINED,UNDEFINED
3,133538-23,PASS,UNDEFINED,PASS
3,133538-33,PASS,UNDEFINED,PASS
3,133641-11,PASS,UNDEFINED,PASS
3,133641-21,UNDEFINED,UNDEFINED,UNDEFINED
3,133641-31,PASS,UNDEFINED,PASS
3,133736-13,UNDEFINED,UNDEFINED,UNDEFINED
3,133736-23,UNDEFINED,UNDEFINED,UNDEFINED
3,133745-13,UNDEFINED,UNDEFINED,UNDEFINED
3,133745-23,PASS,UNDEFINED,PASS
3,133745-33,PASS,UNDEFINED,PASS
3,133847-13,UNDEFINED,UNDEFINED,UNDEFINED
3,133847-23,UNDEFINED,UNDEFINED,UNDEFINED
3,133848-13,PASS,UNDEFINED,PASS
3,133848-23,UNDEFINED,UNDEFINED,UNDEFINED
3,133870-13,PASS,UNDEFINED,PASS
3,133870-23,PASS,UNDEFINED,PASS
3,133870-33,UNDEFINED,UNDEFINED,UNDEFINED
3,133878-11,UNDEFINED,UNDEFINED,UNDEFINED
3,133921-13,UNDEFINED,UNDEFINED,UNDEFINED
3,133921-23,PASS,UNDEFINED,PASS
3,133921-33,PASS,UNDEFINED,PASS
3,133997-31,UNDEFINED,UNDEFINED,UNDEFINED
3,133997-41,UNDEFINED,UNDEFINED,UNDEFINED
3,134008-13,PASS,UNDEFINED,PASS
3,134008-23,UNDEFINED,UNDEFINED,UNDEFINED
3,134008-33,PASS,UNDEFINED,PASS
3,134062-13,PASS,UNDEFINED,PASS
3,134062-23,PASS,UNDEFINED,PASS
3,134062-33,UNDEFINED,UNDEFINED,UNDEFINED
3,134229-11,UNDEFINED,UNDEFINED,UNDEFINED
3,134229-21,PASS,UNDEFINED,PASS
3,134229-31,PASS,UNDEFINED,PASS
3,134301-13,PASS,UNDEFINED,PASS
3,134301-23,PASS,UNDEFINED,PASS
3,134301-33,UNDEFINED,UNDEFINED,UNDEFINED
3,134327-13,UNDEFINED,UNDEFINED,UNDEFINED
3,134327-23,PASS,UNDEFINED,PASS
3,134327-33,PASS,UNDEFINED,PASS
3,134374-13,UNDEFINED,UNDEFINED,UNDEFINED
3,134374-23,PASS,UNDEFINED,PASS
3,134374-33,PASS,UNDEFINED,PASS
3,134524-13,PASS,UNDEFINED,PASS
3,134524-23,PASS,UNDEFINED,PASS
3,134524-33,UNDEFINED,UNDEFINED,UNDEFINED
12,134601-13,PASS,UNDEFINED,PASS
12,134601-23,UNDEFINED,UNDEFINED,UNDEFINED
12,134601-33,PASS,UNDEFINED,PASS
3,134641-13,UNDEFINED,UNDEFINED,UNDEFINED
3,134641-23,PASS,UNDEFINED,PASS
3,134641-33,PASS,UNDEFINED,PASS
3,134669-12,PASS,UNDEFINED,PASS
3,134669-22,PASS,UNDEFINED,PASS
3,134669-32,UNDEFINED,UNDEFINED,UNDEFINED
3,134700-13,PASS,UNDEFINED,PASS
3,134700-23,PASS,UNDEFINED,PASS
3,134700-33,UNDEFINED,UNDEFINED,UNDEFINED
3,134840-13,PASS,UNDEFINED,PASS
3,134840-23,UNDEFINED,UNDEFINED,UNDEFINED
3,134840-33,PASS,UNDEFINED,PASS
3,134918-13,UNDEFINED,UNDEFINED,UNDEFINED
3,134918-23,PASS,UNDEFINED,PASS
3,135119-13,PASS,UNDEFINED,PASS
3,135119-23,PASS,UNDEFINED,PASS
3,135119-33,UNDEFINED,UNDEFINED,UNDEFINED
3,135132-12,PASS,UNDEFINED,PASS
3,135132-22,PASS,UNDEFINED,PASS
3,135132-32,UNDEFINED,UNDEFINED,UNDEFINED
3,135134-13,PASS,UNDEFINED,PASS
3,135134-23,PASS,UNDEFINED,PASS
3,135134-33,UNDEFINED,UNDEFINED,UNDEFINED
12,135194-13,PASS,UNDEFINED,PASS
12,135194-23,UNDEFINED,UNDEFINED,UNDEFINED
12,135194-33,PASS,UNDEFINED,PASS
3,135263-12,PASS,UNDEFINED,PASS
3,135263-22,PASS,UNDEFINED,PASS
3,135263-32,UNDEFINED,UNDEFINED,UNDEFINED
3,135293-23,PASS,UNDEFINED,PASS
3,135293-33,UNDEFINED,UNDEFINED,UNDEFINED
3,135300-11,UNDEFINED,UNDEFINED,UNDEFINED
3,135300-21,UNDEFINED,UNDEFINED,UNDEFINED
3,135300-31,UNDEFINED,UNDEFINED,UNDEFINED
3,135300-41,UNDEFINED,UNDEFINED,UNDEFINED
3,135300-51,UNDEFINED,UNDEFINED,UNDEFINED
3,135360-11,PASS,UNDEFINED,PASS
3,135360-21,PASS,UNDEFINED,PASS
3,135360-31,UNDEFINED,UNDEFINED,UNDEFINED
3,135538-13,UNDEFINED,UNDEFINED,UNDEFINED
3,135538-23,PASS,UNDEFINED,PASS
3,135538-33,PASS,UNDEFINED,PASS
3,135552-13,UNDEFINED,UNDEFINED,UNDEFINED
3,135552-23,UNDEFINED,UNDEFINED,UNDEFINED
3,135552-33,PASS,UNDEFINED,PASS
3,135646-12,PASS,UNDEFINED,PASS
3,135646-14,PASS,UNDEFINED,PASS
3,135646-22,PASS,UNDEFINED,PASS
3,135646-24,PASS,UNDEFINED,PASS
3,135646-32,UNDEFINED,UNDEFINED,UNDEFINED
3,135646-34,UNDEFINED,UNDEFINED,UNDEFINED
3,135675-22,UNDEFINED,UNDEFINED,UNDEFINED
3,135675-32,PASS,UNDEFINED,PASS
3,135675-42,PASS,UNDEFINED,PASS
3,135675-43,UNDEFINED,UNDEFINED,UNDEFINED
3,135694-15,PASS,UNDEFINED,PASS
3,135694-45,PASS,UNDEFINED,PASS
3,135723-13,PASS,UNDEFINED,PASS
3,135723-23,UNDEFINED,UNDEFINED,UNDEFINED
3,135723-33,PASS,UNDEFINED,PASS
3,135862-13,UNDEFINED,UNDEFINED,UNDEFINED
3,135862-23,PASS,UNDEFINED,PASS
3,135862-33,PASS,UNDEFINED,PASS
3,135879-13,UNDEFINED,UNDEFINED,UNDEFINED
3,135879-23,PASS,UNDEFINED,PASS
3,135879-33,PASS,UNDEFINED,PASS
3,135951-13,PASS,UNDEFINED,PASS
3,135951-23,PASS,UNDEFINED,PASS
3,135951-33,UNDEFINED,UNDEFINED,UNDEFINED
3,135966-34,UNDEFINED,UNDEFINED,UNDEFINED
3,136001-13,UNDEFINED,UNDEFINED,UNDEFINED
3,136001-23,PASS,UNDEFINED,PASS
3,136001-33,PASS,UNDEFINED,PASS
3,136802-13,UNDEFINED,UNDEFINED,UNDEFINED
3,136802-23,PASS,UNDEFINED,PASS
3,136802-33,PASS,UNDEFINED,PASS
3,136803-13,UNDEFINED,UNDEFINED,UNDEFINED
3,136803-23,PASS,UNDEFINED,PASS
3,136803-33,PASS,UNDEFINED,PASS
3,136807-13,UNDEFINED,UNDEFINED,UNDEFINED
3,136807-23,PASS,UNDEFINED,PASS
3,136807-33,PASS,UNDEFINED,PASS
3,136808-13,PASS,UNDEFINED,PASS
3,136808-23,UNDEFINED,UNDEFINED,UNDEFINED
3,136808-33,PASS,UNDEFINED,PASS
12,137011-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137011-23,PASS,UNDEFINED,PASS
12,137011-33,PASS,UNDEFINED,PASS
12,137038-14,PASS,UNDEFINED,PASS
12,137038-24,PASS,UNDEFINED,PASS
12,137038-34,UNDEFINED,UNDEFINED,UNDEFINED
12,137093-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137093-23,PASS,UNDEFINED,PASS
12,137093-33,PASS,UNDEFINED,PASS
12,137094-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137094-23,PASS,UNDEFINED,PASS
12,137094-33,PASS,UNDEFINED,PASS
12,137120-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137120-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137120-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137124-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137124-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137124-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137128-13,PASS,UNDEFINED,PASS
12,137128-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137128-33,PASS,UNDEFINED,PASS
12,137131-13,UNDEFINED,UNDEFINED,UNDEFINED
12,137131-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137131-33,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-11,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-12,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-21,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-22,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-31,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-32,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-41,UNDEFINED,UNDEFINED,UNDEFINED
12,137132-51,UNDEFINED,UNDEFINED,UNDEFINED
12,137140-33,PASS,UNDEFINED,PASS
12,137140-43,UNDEFINED,UNDEFINED,UNDEFINED
12,137161-13,PASS,UNDEFINED,PASS
12,137161-23,UNDEFINED,UNDEFINED,UNDEFINED
12,137161-33,PASS,UNDEFINED,PASS
