REGIONAL,CELLS
12,144047-13
12,144047-22
12,144047-23
12,144047-32
12,144047-33
12,144147-13
12,144147-23
12,144147-33
12,144212-12
12,144212-22
12,144212-32
12,144342-11
12,144342-21
12,144342-31
12,144411-13
12,144411-23
12,144411-33
12,144484-12
12,144484-22
12,144484-32
12,144604-13
12,144604-23
12,144604-33
12,144678-13
12,144678-23
12,144678-33
12,145002-13
12,145002-23
12,145002-33
12,145005-13
12,145005-23
12,145005-33
12,145006-11
12,145006-21
12,145006-31
12,145007-13
12,145007-23
12,145007-33
12,145009-13
12,145009-23
12,145009-33
12,145010-13
12,145010-23
12,145010-33
12,145024-13
12,145024-23
12,145024-33
12,145027-13
12,145027-23
12,145027-33
12,145030-13
12,145030-23
12,145030-33
12,145033-13
12,145033-23
12,145033-33
12,145042-13
12,145042-23
12,145042-33
12,145044-13
12,145044-23
12,145044-33
12,145045-13
12,145045-23
12,145045-33
12,145048-13
12,145048-23
12,145048-33
12,145051-13
12,145051-23
12,145051-33
12,145053-13
12,145053-23
12,145053-33
12,145055-13
12,145055-23
12,145055-33
12,145058-13
12,145058-23
12,145058-33
12,145060-13
12,145060-23
12,145060-33
12,145066-13
12,145066-23
12,145066-33
12,145068-13
12,145068-23
12,145068-33
12,145073-13
12,145073-23
12,145073-33
12,145088-11
12,145088-21
12,145088-31
12,145099-13
12,145099-23
12,145099-33
12,145100-13
12,145100-23
12,145100-33
12,145101-13
12,145101-23
12,145101-33
12,145102-13
12,145102-23
12,145102-33
12,145103-13
12,145103-23
12,145103-33
12,145104-13
12,145104-23
12,145104-33
12,145453-13
12,145453-23
12,145453-33
12,145603-13
12,145603-23
12,145603-33
12,145608-13
12,145608-23
12,145608-33
12,145609-13
12,145609-23
12,145609-33
12,145616-13
12,145616-23
12,145616-33
12,145621-13
12,145621-23
12,145621-33
12,145626-13
12,145626-23
12,145626-33
12,145629-13
12,145629-23
12,145629-33
12,145630-11
12,145630-21
12,145630-31
12,145631-13
12,145631-23
12,145631-33
12,145632-13
12,145632-23
12,145632-33
12,145634-13
12,145634-23
12,145634-33
12,145642-12
12,145642-22
12,145642-32
12,145647-13
12,145647-23
12,145647-33
12,145648-13
12,145648-23
12,145648-33
12,145649-13
12,145649-23
12,145649-33
12,145650-13
12,145650-23
12,145650-33
12,145651-13
12,145651-23
12,145651-33
12,145658-13
12,145658-23
12,145658-33
12,145659-13
12,145659-23
12,145659-33
12,145664-13
12,145664-23
12,145664-33
12,145667-13
12,145667-23
12,145667-33
12,145681-13
12,145681-23
12,145681-33
12,145686-13
12,145686-23
12,145686-33
12,145688-13
12,145688-23
12,145688-33
12,145689-13
12,145689-23
12,145689-33
12,145694-13
12,145694-23
12,145694-33
12,145699-13
12,145699-23
12,145699-33
12,145707-13
12,145707-23
12,145707-33
12,145714-13
12,145714-23
12,145714-33
12,145779-11
12,145779-21
12,145779-31
12,146007-13
12,146007-23
12,146007-33
12,146009-13
12,146009-23
12,146009-33
12,146011-13
12,146011-23
12,146011-33
12,146012-13
12,146012-23
12,146012-33
12,146015-13
12,146015-23
12,146015-33
12,146018-13
12,146018-23
12,146018-33
12,146035-13
12,146035-22
12,146035-23
12,146040-13
12,146040-23
12,146040-33
12,146041-13
12,146041-23
12,146041-33
12,146042-13
12,146042-23
12,146042-33
12,146053-13
12,146053-23
12,146053-33
12,146059-13
12,146059-23
12,146059-33
12,146060-13
12,146060-23
12,146060-33
12,146074-13
12,146074-23
12,146074-33
12,146091-13
12,146091-23
12,146091-33
12,146092-13
12,146092-23
12,146092-33
12,146097-13
12,146097-23
12,146097-33
12,146105-13
12,146105-23
12,146105-33
12,146116-13
12,146116-23
12,146116-33
12,146118-13
12,146118-23
12,146118-33
12,146119-13
12,146119-23
12,146119-33
12,146125-13
12,146125-23
12,146125-33
12,146130-13
12,146130-23
12,146130-33
12,146137-13
12,146137-23
12,146137-33
12,146142-13
12,146142-23
12,146142-33
12,146149-13
12,146149-23
12,146149-33
12,146158-13
12,146158-23
12,146158-33
12,146158-43
12,146159-13
12,146159-23
12,146159-33
12,146161-13
12,146161-23
12,146161-33
12,146168-13
12,146168-23
12,146168-33
12,146177-13
12,146177-23
12,146177-33
12,146178-13
12,146178-23
12,146178-33
12,146185-13
12,146185-23
12,146185-33
12,146202-13
12,146202-23
12,146202-33
12,146248-12
12,146248-13
12,146248-22
12,146248-23
12,146248-32
12,146248-33
12,146601-13
12,146601-23
12,146601-33
12,146609-23
12,146609-33
12,146609-43
12,146613-13
12,146613-23
12,146613-33
12,146614-13
12,146614-23
12,146614-33
12,146615-13
12,146615-23
12,146615-33
12,146625-13
12,146625-23
12,146625-33
12,146626-13
12,146626-23
12,146626-33
12,146638-13
12,146638-23
12,146638-33
12,146648-13
12,146648-23
12,146648-33
12,146653-13
12,146653-23
12,146653-33
12,146657-13
12,146657-23
12,146657-33
12,146660-13
12,146660-23
12,146660-33
12,146663-13
12,146663-23
12,146663-33
12,146671-13
12,146671-23
12,146671-33
12,146691-13
12,146691-23
12,146691-33
12,146701-13
12,146701-23
12,146701-33
12,146704-13
12,146704-23
12,146704-33
12,146706-13
12,146706-23
12,146706-33
12,146712-13
12,146712-23
12,146712-33
12,146732-13
12,146732-23
12,146732-33
12,146741-13
12,146741-23
12,146741-33
12,146744-13
12,146744-23
12,146744-33
12,146750-13
12,146750-23
12,146750-33
12,146758-13
12,146758-23
12,146758-33
12,146765-13
12,146765-23
12,146765-33
12,146768-13
12,146768-23
12,146768-33
12,146781-13
12,146781-23
12,146781-33
12,146784-13
12,146784-23
12,146784-33
12,146792-13
12,146792-23
12,146792-33
12,146801-13
12,146801-23
12,146801-33
12,146807-13
12,146807-23
12,146807-33
12,146809-13
12,146809-23
12,146809-33
12,146811-13
12,146811-23
12,146811-33
12,146816-13
12,146816-23
12,146816-33
12,146828-13
12,146828-23
12,146828-33
12,146831-13
12,146831-23
12,146831-33
12,146836-13
12,146836-23
12,146836-33
12,146838-13
12,146838-23
12,146838-33
12,146841-13
12,146841-23
12,146841-33
12,146843-13
12,146843-23
12,146843-33
12,146849-13
12,146849-23
12,146849-33
12,146855-13
12,146855-23
12,146855-33
12,146860-13
12,146860-23
12,146860-33
12,146863-13
12,146863-23
12,146863-33
12,146869-13
12,146869-23
12,146884-13
12,146884-23
12,146884-33
12,146888-13
12,146888-23
12,146888-33
12,146899-13
12,146899-23
12,146899-33
12,146900-11
12,146900-21
12,146900-31
12,146916-13
12,146916-23
12,146916-33
12,146920-13
12,146920-23
12,146920-33
12,146922-13
12,146922-23
12,146922-33
12,146933-12
12,146933-22
12,146933-32
12,146954-13
12,146954-23
12,146954-33
12,146991-13
12,146991-23
12,146991-33
12,147003-13
12,147003-23
12,147003-33
12,147004-13
12,147004-23
12,147004-33
12,147009-13
12,147009-23
12,147009-33
12,147024-13
12,147024-23
12,147024-33
12,147071-13
12,147071-23
12,147071-33
12,147079-13
12,147079-23
12,147079-33
12,147106-13
12,147106-23
12,147106-33
12,147106-43
12,147106-53
12,147106-63
12,147121-13
12,147121-23
12,147121-33
12,147122-13
12,147122-23
12,147122-33
12,147130-12
12,147130-22
12,147130-32
12,147180-13
12,147180-23
12,147180-33
12,147181-11
12,147181-21
12,147181-31
12,147290-11
12,147290-21
12,147290-31
12,147336-13
12,147336-23
12,147336-33
12,147352-13
12,147352-15
12,147352-23
12,147352-25
12,147352-33
12,147352-35
12,147352-45
12,147352-55
12,147352-65
12,147389-25
12,147389-35
12,147389-55
12,147389-65
12,147391-12
12,147391-22
12,147391-32
12,147393-13
12,147393-23
12,147393-33
12,147406-13
12,147406-23
12,147406-33
12,147456-13
12,147456-23
12,147456-33
12,147490-12
12,147490-22
12,147490-32
12,147530-13
12,147530-23
12,147530-33
12,147560-13
12,147560-23
12,147560-33
12,147627-13
12,147627-23
12,147627-33
12,147648-11
12,147648-21
12,147648-31
12,147773-13
12,147773-23
12,147773-33
12,147853-13
12,147853-23
12,147853-33
12,147865-13
12,147865-23
12,147865-33
12,147865-43
12,147865-53
12,147865-63
12,147893-13
12,147893-23
12,147893-33
12,147930-13
12,147930-23
12,147930-33
12,147976-11
12,147976-21
12,147976-31
12,147988-13
12,147988-23
12,147988-33
12,148009-13
12,148009-23
12,148009-33
12,148011-13
12,148011-23
12,148011-33
12,148012-13
12,148012-23
12,148012-33
12,148014-13
12,148014-23
12,148014-33
12,148027-13
12,148027-23
12,148027-33
12,148029-13
12,148029-23
12,148029-33
12,148033-15
12,148033-25
12,148033-35
12,148033-45
12,148033-55
12,148033-65
12,148039-13
12,148039-23
12,148039-33
12,148040-13
12,148040-23
12,148040-33
12,148054-13
12,148054-23
12,148054-33
12,148055-13
12,148055-23
12,148055-33
12,148057-13
12,148057-23
12,148057-33
12,148061-13
12,148061-23
12,148061-33
12,148072-13
12,148072-23
12,148072-33
12,148075-13
12,148075-23
12,148075-33
12,148084-13
12,148084-23
12,148084-33
12,148100-13
12,148100-23
12,148100-33
12,148105-13
12,148105-23
12,148105-33
12,148109-11
12,148109-21
12,148109-31
12,148111-13
12,148111-23
12,148111-33
12,148112-13
12,148112-23
12,148112-33
12,148118-13
12,148118-23
12,148118-33
12,148127-13
12,148127-23
12,148127-33
12,148132-13
12,148132-23
12,148132-33
12,148137-13
12,148137-23
12,148137-33
12,148139-13
12,148139-23
12,148139-33
12,148601-13
12,148601-23
12,148601-33
12,148606-13
12,148606-23
12,148606-33
12,148609-13
12,148609-23
12,148609-33
12,148612-13
12,148612-23
12,148612-33
12,148616-13
12,148616-23
12,148616-33
12,148629-13
12,148648-13
12,148648-23
12,148648-33
12,148666-13
12,148666-23
12,148666-33
12,148668-13
12,148668-23
12,148668-33
12,148674-11
12,148674-21
12,148674-31
12,148696-13
12,148696-23
12,148696-33
12,148702-13
12,148702-23
12,148702-33
12,148703-13
12,148703-23
12,148703-33
12,148709-13
12,148709-23
12,148709-33
12,148711-13
12,148711-23
12,148711-33
12,148712-13
12,148712-23
12,148712-33
12,148725-13
12,148725-23
12,148725-33
12,148730-13
12,148730-23
12,148730-33
12,148742-13
12,148742-23
12,148742-33
12,148749-13
12,148749-23
12,148749-33
12,148753-13
12,148753-23
12,148753-33
12,148762-13
12,148762-23
12,148762-33
12,148763-13
12,148763-23
12,148763-33
12,148765-13
12,148765-23
12,148765-33
12,148769-13
12,148769-23
12,148769-33
12,148773-13
12,148773-23
12,148773-33
12,148788-13
12,148788-23
12,148788-33
12,148792-13
12,148792-23
12,148792-33
12,148804-13
12,148804-23
12,148804-33
12,149652-13
12,149652-23
12,149652-33
12,433003-13
12,433003-23
12,433003-33
12,433004-13
12,433004-23
12,433004-33
12,433010-13
12,433010-23
12,433010-33
12,433012-13
12,433012-23
12,433012-33
12,433013-13
12,433013-23
12,433013-33
12,433014-13
12,433014-23
12,433014-33
12,433015-13
12,433015-23
12,433015-33
12,433034-13
12,433034-23
12,433034-33
12,433037-13
12,433037-23
12,433037-33
12,433041-13
12,433041-23
12,433041-33
12,433044-13
12,433044-23
12,433044-33
12,433048-13
12,433048-23
12,433048-33
12,433058-13
12,433058-23
12,433058-33
12,433060-13
12,433060-23
12,433060-33
12,433061-13
12,433061-23
12,433061-33
12,433062-13
12,433062-23
12,433062-33
12,433074-13
12,433074-23
12,433074-33
12,433083-13
12,433083-23
12,433083-33
12,433089-13
12,433089-23
12,433089-33
12,433090-13
12,433090-23
12,433090-33
12,433092-13
12,433092-23
12,433092-33
12,433097-13
12,433097-23
12,433097-33
12,433100-13
12,433100-23
12,433100-33
12,433105-13
12,433105-23
12,433105-33
12,433111-13
12,433111-23
12,433111-33
12,433114-13
12,433114-23
12,433114-33
12,433147-13
12,433147-23
12,433147-33
12,433148-13
12,433148-23
12,433148-33
12,433152-13
12,433152-23
12,433152-33
12,433153-13
12,433153-23
12,433153-33
12,433154-13
12,433154-23
12,433154-33
12,433155-13
12,433155-23
12,433155-33
12,433156-13
12,433156-23
12,433156-33
12,433166-13
12,433166-23
12,433166-33
12,433167-13
12,433167-23
12,433167-33
12,433168-13
12,433168-23
12,433168-33
12,433177-13
12,433177-23
12,433177-33
12,433179-13
12,433179-23
12,433179-33
12,433183-13
12,433183-23
12,433183-33
12,433188-13
12,433188-23
12,433188-33
12,433193-13
12,433193-23
12,433193-33
12,433202-13
12,433202-23
12,433202-33
12,433211-13
12,433211-23
12,433211-33
12,433214-13
12,433214-23
12,433214-33
12,433216-13
12,433216-23
12,433216-33
12,433222-13
12,433222-23
12,433222-33
12,433227-13
12,433227-23
12,433227-33
12,433246-13
12,433246-23
12,433246-33
12,433249-13
12,433249-23
12,433249-33
12,433316-13
12,433316-23
12,433316-33
12,433319-13
12,433319-23
12,433319-33
12,433352-12
12,433352-22
12,433352-32
12,433696-13
12,433696-23
12,433696-33
12,433707-13
12,433707-23
12,433707-33
12,433734-13
12,433734-23
12,433734-33
12,433775-13
12,433775-23
12,433775-33
12,433793-13
12,433793-23
12,433793-33
12,433816-13
12,433816-23
12,433816-33
12,433817-13
12,433817-23
12,433817-33
12,433820-13
12,433820-42
12,433820-52
12,433820-62
12,433824-13
12,433824-23
12,433824-33
12,433837-13
12,433837-23
12,433837-33
12,434096-12
12,434096-22
12,434096-32
12,434110-13
12,434110-23
12,434110-33
12,434148-12
12,434148-22
12,434148-32
12,434163-12
12,434163-22
12,434163-32
12,434179-13
12,434179-23
12,434179-33
12,434192-13
12,434192-23
12,434192-33
12,434220-13
12,434220-23
12,434220-33
12,434228-11
12,434228-21
12,434228-31
12,434289-13
12,434289-23
12,434289-33
12,434344-13
12,434344-23
12,434344-33
12,434360-14
12,434360-24
12,434360-34
12,434495-11
12,434495-21
12,434495-31
12,434502-11
12,434502-21
12,434502-31
12,434613-11
12,434613-21
12,434613-31
12,434617-12
12,434617-22
12,434617-32
12,434620-11
12,434620-21
12,434620-31
12,434631-11
12,434631-21
12,434631-31
12,435088-13
12,435088-23
12,435088-33
12,435098-13
12,435098-23
12,435098-33
12,435115-13
12,435115-23
12,435115-33
12,435138-13
12,435138-23
12,435138-33
12,435172-11
12,435172-21
12,435172-31
12,435172-41
12,473004-12
12,473004-22
12,473004-32
12,473052-13
12,473052-23
12,473052-33
12,473065-13
12,473065-23
12,473065-33
12,473150-13
12,473150-23
12,473150-33
12,473245-12
12,473245-22
12,473245-32
12,473395-12
12,473395-22
12,473395-32
12,473405-13
12,473405-23
12,473405-33
12,474013-13
12,474013-23
12,474013-33
12,474023-12
12,474023-22
12,474023-32
12,474218-13
12,474218-23
12,474218-33
12,475021-12
12,475021-22
12,475021-32
12,475227-11
12,475227-21
12,475227-31
12,475323-11
12,475323-21
12,475323-31
12,475852-23
12,475852-33
12,502019-13
12,502019-23
12,502019-33
12,502028-11
12,502028-21
12,502028-31
12,502061-13
12,502061-23
12,502061-33
12,502139-13
12,502139-23
12,502139-33
12,502197-11
12,502197-13
12,502197-21
12,502197-23
12,502197-31
12,502197-33
12,502285-11
12,502285-21
12,502285-31
12,502321-11
12,502321-21
12,502321-31
12,502411-13
12,502411-23
12,502411-33
12,502493-13
12,502493-23
12,502493-33
12,502518-11
12,502518-21
12,502518-31
12,502618-11
12,502618-21
12,502618-31
12,502620-11
12,502620-21
12,502620-31
12,502624-11
12,502624-21
12,502624-31
12,502628-12
12,502628-22
12,502628-32
12,5474218-13
12,5474218-23
12,5474218-33
12,622277-13
12,622277-23
12,622277-33
12,623073-12
12,623073-22
12,623073-32
12,630131-13
12,630131-23
12,630213-33
12,630213-43
